en,ko
Forest of Giant Plants,거대식물의 숲
Forest of Vitality,활력의 숲
Forest Seal Stone,숲의 봉인석
Fossil Egg,
Fossil Excavation Kit,
Fossil Excavation Map,
Fossil Excavator,
Fossil Quarry,화석 채굴장
Fossil Researcher,
Fresh Water Set,맛있는물세트
Friend Ball,프랜드볼
Friends in Galar,가라르의 동료들
Friends in Hisui,히스이의 동료들
Friends in Paldea,팔데아의 동료들
Friends in Sinnoh,신오의 동료들
Frozen City,
Fuchsia City Gym,
Full Face Guard,풀 페이스 가드
Full Flame,
Full Heal,만병통치제
Full Metal Lab,풀메탈 랩
Furisode Girl,기모노드레스
Future Booster Energy Capsule,부스트에너지 미래
G Booster,
G Scope,
Galactic HQ,갤럭시단아지트
Galar Mine,가라르광산
Galarian Chestplate,가라르 가슴보호대
Gallade Spirit Link,엘레이드 소울링크
Gambler,갬블러
Gapejaw Bog,큰입 늪
Garchomp Spirit Link,한카리아스 소울링크
Gardenia,유채
Gardenia's Vigor,유채의 활기
Gardevoir Spirit Link,가디안 소울링크
Geeta,테사
Gengar Spirit Link,팬텀 소울링크
Ghetsis,게치스
Giacomo,피나
Giant Bomb,
Giant Cape,커다란망토
Giant Hearth,
Giant Stump,
Giovanni,비주기
Giovanni's Charisma,비주기의 카리스마
Giovanni’s Exile,비주기의 추방
Giovanni's Last Resort,
Giovanni's Scheme,
Glacia's Stadium,
Gladion,글라디오
Gladion's Final Battle,글라디오의 결전
Glalie Spirit Link,얼음귀신 소울링크
Glass Trumpet,유리나팔
Glimwood Tangle,루미너스메이즈숲
Gloria,우리
Gold Berry,황금열매
Gold Potion,골드포션
Good Manners,
Good Rod,좋은낚싯대
Goop Gas Attack,
Gordie,마쿠와
Grabber,
Grand Tree,위대한 거목
Granite Cave,바위 동굴
Grant,자크로
Grass Cube 01,
Grass Memory,그래스메모리
Gravity Gemstone,중력구슬
Gravity Mountain,그래비티 마운틴
Great Ball,수퍼볼
Great Catcher,그레이트 캐처
Great Haul Net,월척네트
Great Potion,
Greedy Dice,
Green’s Exploration,
Grimsley,블래리
Grimsley's Move,블래리의 한 수
Groudon Spirit Link,그란돈 소울링크
Grusha,그루샤
Gust of Wind,
Gutsy Pickaxe,근성의 곡괭이
Guzma,구즈마
Guzma & Hala,구즈마&할라
Gwynn,무쿠
Gyarados Spirit Link,갸라도스 소울링크
Gym Badge,배지
Gym Trainer,체육관 트레이너
Haban Berry,하반열매
Hala,할라
Hand Scope,핸드스코프
Hand Trimmer,핸드 트리머
Handheld Fan,핸디 서큘레이터
Hapu,하푸우
Hard Charm,
Harlequin,어릿광대
Hassel,팔자크
Hau,하우
Head Ringer Team Flare Hyper Gear,
Heal Powder,만능가루
Healing Berry,
Healing Field,
Healing Scarf,
Heat Factory ◇,
Heavy Ball,헤비볼
Heavy Baton,헤비 배턴
Heavy Boots,
Heavy Helmet,헤비멧
Helix Fossil,조개화석
Helix Fossil Omanyte,조개화석 암나이트
Here Comes Team Rocket!,로켓단 등장!
Hero's Cape,히어로 망토
Hero's Medal,영웅의 메달
Hex Maniac,오컬트마니아
High Pressure System,
Hiker,등산가
Hilda,투희
Hisuian Heavy Ball,헤비볼
Hitting Hammer,히트해머
Hole-Digging Shovel,구멍뚫기삽
Holon Adventurer,
Holon Circle,
Holon Farmer,
Holon Fossil,
Holon Lake,
Holon Lass,
Holon Legacy,
Holon Mentor,
Holon Research Tower,
Holon Researcher,
Holon Ruins,
Holon Scientist,
Holon Transceiver,
Honey,달콤한꿀
Hooligans Jim & Cas,
Hop,호브
Hop's Bag,호브의 가방
Hop's Choice Band,호브의 구애머리띠
Houndoom Spirit Link,헬가 소울링크
Hugh,휴이
Hunting Gloves,헌터글러브
Hustle Belt,
Hyper Aroma,하이퍼 아로마
Hyper Devolution Spray,
Hyper Potion,고급상처약
Hypnotoxic Laser,
Ilima,일리마
Imakuni?,
Imposter Oak's Revenge,
Imposter Professor Oak,가짜 오박사
Impostor Professor Oak,가짜 오박사
Impostor Professor Oak's Invention,
Indigo Plateau,석영고원
Inflatable Boat,워터 보트
Ingo & Emmet,
Interviewer's Questions,
Iono,모야모
Irida,주혜
Iris,아이리스
Iris's Fighting Spirit,아이리스의 투지
Iron Defender,아이언 디펜드업
Iscan,억새
Island Cave,작은 섬 옆굴
Island Challenge Amulet,섬 순례 증표
Island Hermit,
Item Finder,다우징머신
Jacinthe,유카리
Jacq,지니어
Jamming Net Team Flare Hyper Gear,
Jamming Tower,재밍타워
Janine,도희
Janine's Secret Art,도희의 비기
Jasmine,규리
Jasmine's Gaze,규리의 눈빛
Jaw Fossil,턱화석
Jessie & James,
Jett,제트
Jubilife Village,축복마을
Judge,
Judge Whistle,저지맨휘슬
Juggler,저글러
Jumbo Ice Cream,점보아이스
Junk Arm,
Justified Gloves,정의글러브
Kabu,순무
Kahili,카일리
Kamado,전목
Karate Belt,
Karen,카렌
Karen's Conviction,카렌의 신념
Katy,단풍
Kiawe,키아웨
Kieran,카지
Kindler,캠프파이어
Klara,도정
Kofu,곤포
Koga,독수
Koga's Ninja Trick,
Koga’s Trap,
Korrina,코르니
Korrina's Focus,코르니의 기합
Kyogre Spirit Link,가이오가 소울링크
Lacey,타로
Lady,아기씨
Lady Outing,
Lake Acuity,예지호수
Lake Boundary,
Lana,수련
Lana's Aid,수련의 돌봄
Lana’s Fishing Rod,수련의 낚싯대
Lance,목호
Lance ◇,
Lanette's Net Search,
Larry,청목
Larry's Skill,청목의 수완
Lass,짧은 치마
Lass's Special,
Last Chance Potion,
Latios Spirit Link,라티오스 소울링크
Lavender Town,보라타운
Leaf,리프
Leaf Cape,리프망토
Leafy Camo Poncho,잎새숨기 판초
League Staff,리그 스태프
Leftovers,먹다남은음식
Legend Box,
Leon,단델
Letter of Encouragement,격려의편지
Level Ball,레벨볼
Level Max,
Levincia,누룩스시티
Life Dew,생명의물방울
Life Forest ◇,
Life Herb,
Light Ball,전기구슬
Lightning Cube 01,
Lillie,릴리에
Lillie's Determination,릴리에의 결심
Lillie’s Full Force,
Lillie's Pearl,릴리에의 진주
Lillie’s Poké Doll,릴리에의 삐삐인형
Lisia,루티아
Lisia's Appeal,루티아의 어필
Lively Stadium,익사이팅 스타디움
Looker,핸섬
Looker Whistle,핸섬휘슬
Looker's Investigation,
Lost Blender,
Lost City,로스트시티
Lost Remover,
Lost Vacuum,로스트스위퍼
Lost World,
Love Ball,러브러브볼
Low Pressure System,
Lt. Surge,마티스
Lt. Surge's Bargain,마티스의 거래
Lt. Surge's Secret Plan,
Lt. Surge’s Strategy,
Lt. Surge's Treaty,
Lucario Spirit Link,루카리오 소울링크
Lucian,오엽
Lucian's Assignment,
Lucky Egg,행복의알
Lucky Helmet,럭키멧
Lucky Ice Pop,뽑기 아이스
Lucky Mittens,럭키미튼
Lucky Stadium,
Lum Berry,리샘열매
Lumiose City,미르시티
Lumiose Galette,미르갈레트
Lure Ball,루어볼
Lure Module,루어모듈
Lusamine,루자미네
Lusamine ◇,
Luxurious Cape,럭셔리망토
Luxury Ball,럭셔리볼
Lyra,
Lysandre,플라드리
Lysandre ◇,
Lysandre Labs,플라드리 래버러토리
Lysandre's Trump Card,플라드리 최후의 수단
Magma Basin,마그마의 용소
Magma Pointer,마그마포인터
Magnetic Storm,
Magnifier,
Mail from Bill,
Maintenance,메인터넌스
Mallow,마오
Mallow & Lana,마오&수련
Manectric Spirit Link,썬더볼트 소울링크
Marley's Request,
Marlon,시즈
Marnie,마리
Marnie's Pride,마리의 프라이드
Mars,마스
Martial Arts Dojo,
Mary,
Mary's Impulse,
Mary's Request,
Master Ball,마스터볼
Mawile Spirit Link,입치트 소울링크
Max Elixir,PP맥스
Max Potion,풀회복약
Max Revive,기력의덩어리
Max Rod,낚싯대MAX
Maxie,마적
Maxie's Hidden Ball Trick,마적의 히든볼트릭
Maximum Belt,맥시멈 벨트
May,
Meddling Memo,방해 레터
Mega Catcher,
Mega Signal,메가시그널
Mega Turbo,
Megaton Blower,메가톤 블로어
Mela,멜로코
Melony,멜론
Memory Berry,
Memory Capsule,메모리캡슐
Memory Light,메모리 라이트
Mesagoza,테이블시티
Metal Core Barrier,메탈코어 배리어
Metal Cube 01,
Metal Frying Pan,강철 프라이팬
Metal Goggles,메탈고글
Metal Saucer,메탈소서
Meteor Falls,유성의 폭포
Mewtwo Spirit Link,뮤츠 소울링크
Miasma Valley,
Milo,아킬
Mina,말리화
Minion of Team Rocket,
Miracle Berry,기적의열매
Miracle Headset,미라클인터컴
Miracle Sphere α,
Miracle Sphere β,
Miracle Sphere γ,
Mirage Gate,미라주게이트
Mirage Stadium,
Miriam,미모사
Miss Fortune Sisters,야적 세 자매
Missing Clover,미싱클로버
Misty,이슬
Misty & Lorelei,이슬&칸나
Misty’s Cerulean City Gym,
Misty's Determination,이슬의 의욕
Misty’s Determination,이슬의 의욕
Misty's Duel,
Misty’s Favor,
Misty's Tears,
Misty's Vitality,이슬의 기력
Misty’s Water Command,
Misty's Wish,
Misty's Wrath,
Mixed Herbs,
Molayne,멀레인
Mom's Kindness,
Moo-Moo Milk,튼튼밀크
Moomoo Cheese,튼튼치즈
Moomoo Milk,튼튼밀크
Moon & Sun Badge,달과 태양의 배지
Moonlight Stadium,
Moonlit Hill,달이 빛나는 언덕
Morgan,르마탱
Morty,유빈
Morty's Conviction,유빈의 확신
Mount Lanakila,라나키라마운틴
Mountain Ring,
Mr. Briney's Compassion,
Mr. Fuji,등나무노인
Mr. Stone's Project,
Mt. Coronet,천관산
Mt. Moon,달맞이산
Multi Switch,멀티 갈아 달기
Multi Technical Machine 01,
Muscle Band,힘의머리띠
Mysterious Fossil,
Mysterious Shard,
Mysterious Treasure,
Mystery Garden,미스터리 가든
Mystery Plate α,
Mystery Plate β,
Mystery Plate γ,
Mystery Plate δ,
Mystery Zone,수수께끼의 장소
Mythical Slab,환상의 석판
N,N(엔)
N's Castle,의 성
N's Plan,N의 방안
N's PP Up,N의 포인트업
N’s Resolve,N의 각오
Nanu,나누
Narrow Gym,
Naveen,이노
Nemona,네모
Nemona's Backpack,네모의 륙색
Nessa,야청
Nest Ball,네스트볼
Net Ball,넷트볼
Neutralization Zone,뉴트럴센터
New Pokédex,
Night Maintenance,
Night Pokémon Center,밤의 포켓몬센터
Night Stretcher,밤의 들것
Night Teleporter,
Nightly Garbage Run,
Nighttime Mine,밤의 광산
Ninja Boy,닌자놀이
Nita,라뉴이
No Removal Gym,
Normalium Z: Tackle,노말Z 몸통박치기
Norman,종길
Nugget,금구슬
Occa Berry,오카열매
Ogre's Mask,도깨비의 가면
Old Amber,비밀의호박
Old Amber Aerodactyl,비밀의호박 프테라
Old Cemetery,옛 무덤
Old PC,낡은컴퓨터
Old Rod,낡은낚싯대
Oleana,올리브
Olivia,라이치
Olympia,고지카
Opal,포플러
Oracle,
Oran Berry,오랭열매
Order Pad,끌어당기기 패드
Ordinary Rod,보통낚싯대
Ortega,오르티가
Paint Roller,
Pal Pad,친구수첩
Paldean Student,팔데아의 학생
Palmer's Contribution,
Panic Mask,패닉마스크
Paradise Resort,파라다이스 리조트
Parallel City,
Parasol Lady,파라솔아가씨
Passho Berry,꼬시개열매
Path to the Peak,정상으로 가는 눈길
Patrol Cap,패트롤캡
Payapa Berry,야파열매
Peculiar Plaza,이상한 광장
Peeking Red Card,엿보기 레드카드
Penny,모란
Peonia,니아
Peony,피오니
Perilous Jungle,위험한 밀림
Perrin,세류
Pewter City Gym,
Philippe,지프
Phoebe,회연
Phoebe's Stadium,
Picnic Basket,피크닉바구니
Picnicker,피크닉걸
Pidgeot Spirit Link,피죤투 소울링크
Piers,두송
Plasma Frigate,플라스마프리깃
Plume Fossil,깃털화석
Plumeria,플루메리
PlusPower,플러스파워
Po Town,포마을
Poison Barb,독바늘
Poké Ball,몬스터볼
Poké Blower +,
Poké Drawer +,
Poké Healer +,
Poké Kid,포켓몬놀이
Poké Maniac,포켓몬 매니아
Poké Pad,포켓패드
Poké Radar,포켓트레
Poké Vital A,
Pokédex,포켓몬 도감
PokéDex (HANDY909),
Pokédex HANDY910is,포켓몬 도감 HANDY910is
PokéGear,포켓기어
Pokégear 3.0,
Pokémon Breeder,포켓몬 브리더
Pokémon Breeder Fields,
Pokémon Breeder's Nurturing,포켓몬 브리더의 육성
Pokémon Catcher,포켓몬 캐처
Pokémon Center,포켓몬센터
Pokémon Center Lady,포켓센 아가씨
Pokémon Circulator,
Pokémon Collector,포켓몬 컬렉터
Pokémon Communication,포켓몬통신
Pokémon Contest Hall,
Pokémon Fan Club,포켓몬애호가클럽
Pokémon Flute,포켓몬피리
Pokémon League Headquarters,포켓몬리그본부
Pokémon March,
Pokémon Nurse,포켓몬간호사
Pokémon Park,
Pokémon Personality Test,
Pokémon Ranger,
Pokémon Rescue,
Pokémon Research Lab,포켓몬 연구소
Pokémon Retriever,
Pokémon Reversal,
Pokémon Tower,포켓몬타워
Pokémon Trader,
PokéNav,포켓 내비
PokéStop,포켓스톱
Poppy,뽀삐
Postwick,펄롱마을
Pot Helmet,냄비멧
Potion,상처약
Pow! Hand Extension,
Power Charge,
Power Memory,
Power Plant,발전소
Power Tablet,파워태블릿
Power Tree,
Powerglass,힘의 모래시계
Practice Studio,레슨 스튜디오
Prank Spinner,짓궂은룰렛
Precious Trolley,프레셔스캐리
Premier Ball,프레미어볼
Premium Power Pro,파워프로틴
Prime Catcher,프라임 캐처
Primordial Altar,미개척의 제단
Prism Tower,프리즘타워
Prof. Oak's Research,
Professor Birch,털보박사
Professor Birch's Observations,털보박사의 관찰
Professor Burnet,버넷박사
Professor Cozmo's Discovery,
Professor Elm,공박사
Professor Elm’s Lecture,
Professor Elm's Training Method,
Professor Juniper,주박사
Professor Kukui,쿠쿠이박사
Professor Laventon,라벤박사
Professor Oak,오박사
Professor Oak's Hint,오박사의 힌트
Professor Oak's New Theory,
Professor Oak's Research,
Professor Oak’s Setup,오박사의 세팅
Professor Oak's Visit,오박사의 방문
Professor Rowan,마박사
Professor Sada's Vitality,올림박사의 기백
Professor Sycamore,플라타느박사
Professor Turo's Scenario,투로박사의 시나리오
Professor's Letter,
Professor’s Letter,
Professor's Research,박사의 연구
Professor's Research (Professor Juniper),
Professor's Research (Professor Magnolia),
Professor's Research (Professor Oak),
Protection Cube,
Protective Goggles,안전고글
Protective Orb,
Protective Poncho,수호의 판초
Psychic Cube 01,
Psychic Memory,사이킥메모리
Psychic's Third Eye,
Punk Helmet,펑크멧
Puzzle of Time,시간의퍼즐
Quad Stone,쿼드스톤
Quick Ball,퀵볼
Quick-Grow Extract,조숙엑기스
Radio Tower,
Raifort,레포르
Raihan,금랑
Rainbow Brush,
Random Receiver,
Rapid Strike Scroll of Swirls,연격의 두루마리 소용돌이의 권
Rapid Strike Scroll of the Flying Dragon,연격의 두루마리 비룡의 권
Rapid Strike Scroll of the Skies,연격의 두루마리 하늘의 권
Rapid Strike Style Mustard,마스터드 연격의 태세
Rare Candy,이상한사탕
Rare Fossil,희귀한화석
Rayquaza Spirit Link,레쿠쟈 소울링크
Reboot Pod,리부트 포드
Recall,교체하다
Recycle,리사이클
Red,레드
Red & Blue,
Red Card,레드카드
Red’s Challenge,레드의 도전
Redeemable Ticket,대체 티켓
Relic Hunter,
Repeat Ball,리피드볼
Repel,벌레회피스프레이
Rescue Board,긴급 보드
Rescue Carrier,레스큐캐리
Rescue Scarf,레스큐 스카프
Rescue Stretcher,레스큐탱크
Research Record,
Reserved Ticket,
Reset Stamp,리셋 스탬프
Resistance Gym,
Return Label,
Reversal Trigger,
Reverse Valley,
Revitalizer,
Revive,기력의조각
Ribbon Badge,리본 배지
Rigid Band,타이트밴드
Rika,칠리
Riley,현이
Risky Ruins,위험한 폐허
Rival,라이벌
Roark,강석
Robo Substitute Team Flare Gear,
Rock Chestplate,바위 가슴보호대
Rock Guard,록가드
Rocket's Admin.,로켓단의 간부
Rocket's Hideout,
Rocket's Minefield Gym,
Rocket's Mission,
Rocket's Poké Ball,
Rocket's Secret Experiment,
Rocket's Sneak Attack,
Rocket's Tricky Gym,
Rocky Helmet,울퉁불퉁멧
Roller Skater,롤러스케이트
Roller Skates,롤러스케이트
Root Fossil,뿌리화석
Root Fossil Lileep,뿌리화석 릴링
Rosa,명희
Rosa's Encouragement,명희의 격려
Rose,로즈
Rose Tower,로즈타워빌딩
Roseanne's Backup,해당의 백업
Roseanne's Research,
Roseanne’s Research,
Roto-Stick,로토무셀카봉
Rotom Bike,로토무자전거
Rotom Dex,로토무도감
Rotom Dex—Poké Finder Mode,
Rotom Phone,스마트로토무
Rough Seas,
Roxanne,원규
Roxie,보미카
Roxie's Performance,보미카의 연주
Rubber Gloves,고무글러브
Ruffian,무서운 청년
Rugged Helmet,울퉁불퉁멧
Ruin Wall,
Ruins of Alph,알프의 유적
Rust Syndicate Grunt,녹청파의 조무래기
Rusted Shield,녹슨방패
Rusted Sword,녹슨검
Ryme,라임
Sabrina,초련
Sabrina & Brycen,초련&담죽
Sabrina's ESP,
Sabrina's Gaze,
Sabrina's Psychic Control,
Sabrina’s Suggestion,
Sacred Ash,성스러운분말
Sacred Charm,성스러운 부적
Saffron City Gym,
Sage's Training,
Saguaro,사구아로
Sail Fossil,지느러미화석
Salamence Spirit Link,보만다 소울링크
Salvatore,세이지
Samson Oak,송호 오
Sceptile Spirit Link,
Schoolboy,스쿨보이
Schoolgirl,스쿨걸
Scizor Spirit Link,핫삼 소울링크
Scoop Up,회수
Scoop Up Cyclone,포켓몬 회수 사이클론
Scoop Up Net,회수네트
Scorched Earth,
Scott,금작화
Scramble Switch,스크램블 스위치
Sea of Nothingness,텅빈 바다
Secret Box,시크릿박스
Secret Mission,
Seeker,
Seer,
Serena,세레나
Shadow Circle,
Shadow Triad,다크 트리니티
Sharpedo Spirit Link,샤크니아 소울링크
Shauna,사나
Shauntal,망초
Shopping Center,
Shrine of Memories,
Shrine of Punishment,
Sidney,혁진
Sidney's Stadium,
Siebold,즈미
Sightseer,관광객
Silent Lab,
Silver,실버
Silver Bangle,실버뱅글
Silver Mirror,
Single Strike Scroll of Piercing,일격의 두루마리 관통의 권
Single Strike Scroll of Scorn,일격의 두루마리 분노의 권
Single Strike Scroll of the Fanged Dragon,일격의 두루마리 아룡의 권
Single Strike Style Mustard,마스터드 일격의 태세
Sitrus Berry,자뭉열매
Skaters' Park,스케이터스 파크
Skull Fossil,두개의화석
Sky Field,스카이필드
Sky Pillar,하늘기둥
Sky Seal Stone,하늘의 봉인석
Skyarrow Bridge,스카이애로 브리지
Skyla,풍란
Sleep!,
Slowbro Spirit Link,야도란 소울링크
Slumbering Forest,
Snorlax Doll,인형
Snow Leaf Badge,스노리프 배지
Snowpoint Temple,선단신전
Solid Rage,
Sonia,소니아
Sophocles,마마네
Sordward & Shielbert,소도와 실디
Space Center,이끼 우주센터
Spark,스파크
Sparkling Crystal,반짝이는 결정
Sparkling Robe,
Special Charge,
Special Red Card,스페셜 레드카드
Speed Stadium,스피드 스타디움
Spell Tag,저주의부적
Spicy Seasoned Curry,매운맛 스파이시 카레
Spikemuth,스파이크마을
Spikemuth Gym,스파이크마을
Spirit Mask,영계의 가면
Spongy Gloves,스펀지글러브
Sprout Tower,모다피의 탑
Squirt Bottle,꼬부기물뿌리개
Stadium Nav,
Star Piece,별의조각
Stark Mountain,하드마운틴
Starting Plains,시작의 평원
Startling Megaphone,
Stealthy Hood,
Steel Apron,강철 앞치마
Steel Shelter,
Steelix Spirit Link,강철톤 소울링크
Steven,나성호
Steven's Advice,
Steven’s Resolve,
Stormy Mountains,폭풍산맥
Strange Cave,
Strange Timepiece,괴상한 시계
Strength Charm,
Struggle Gloves,역경글러브
Sunyshore City Gym,
Super Energy Removal,
Super Energy Removal 2,
Super Energy Retrieval,
Super Potion,좋은상처약
Super Rod,대단한낚싯대
Super Scoop Up,슈퍼 포켓몬 회수
Supereffective Glasses,굉장한 글라스
Superior Energy Retrieval,수퍼 에너지 회수
Surfer,서퍼
Surfing Beach,파도타기 비치
Surprise Box,
Surprise! Time Machine,
Survival Brace,서바이브 깁스
Suspicious Food Tin,알쏭달쏭 통조림
Sweet Honey,달콤한꿀
Switch,포켓몬 교체
Switch Cart,교체카트
Switch Raft,
Switching Cups,바꿔치기컵
Swoop! Teleporter,
Tag Call,태그콜
Tag Switch,태그 스위치
Target Whistle Team Flare Gear,
Tarragon,타라곤
Tate & Liza,풍&란
Team Aqua Admin,아쿠아단간부
Team Aqua Ball,
Team Aqua Belt,
Team Aqua Conspirator,
Team Aqua Grunt,아쿠아단 조무래기
Team Aqua Hideout,아쿠아단아지트
Team Aqua Schemer,
Team Aqua Technical Machine 01,
Team Aqua's Great Ball,아쿠아단의 슈퍼볼
Team Aqua's Secret Base,아쿠아단의 비밀기지
Team Flare Grunt,플레어단 조무래기
Team Galactic Grunt,갤럭시단 조무래기
Team Galactic's Invention G-101 Energy Gain,
Team Galactic's Invention G-103 Power Spray,
Team Galactic's Invention G-105 Poké Turn,
Team Galactic's Invention G-107 Technical Machine G,
Team Galactic's Invention G-109 SP Radar,
Team Galactic's Mars,갤럭시단의 마스
Team Galactic's Wager,갤럭시단의 내기
Team Magma Admin,마그마단의 간부
Team Magma Ball,
Team Magma Belt,
Team Magma Conspirator,
Team Magma Grunt,마그마단 조무래기
Team Magma Hideout,마그마단아지트
Team Magma Schemer,
Team Magma Technical Machine 01,
Team Magma's Great Ball,마그마단의 수퍼볼
Team Magma's Secret Base,마그마단의 비밀기지
Team Plasma Badge,
Team Plasma Ball,플라스마단의 몬스터볼
Team Plasma Grunt,플라스마단 조무래기
Team Rocket Grunt,로켓단 조무래기
Team Rocket's Archer,로켓단의 아폴로
Team Rocket's Ariana,로켓단의 아테나
Team Rocket's Bother-Bot,로켓단의 방해로봇
Team Rocket's Evil Deeds,
Team Rocket's Factory,로켓단의 팩토리
Team Rocket's Giovanni,로켓단의 비주기
Team Rocket's Great Ball,로켓단의 슈퍼볼
Team Rocket's Handiwork,로켓단의 공작
Team Rocket's Hypnotizer,로켓단의 최면장치
Team Rocket's Petrel,로켓단의 람다
Team Rocket's Proton,로켓단의 랜스
Team Rocket's Transceiver,로켓단의 리시버
Team Rocket's Trickery,
Team Rocket's Venture Bomb,로켓단의 깜짝봄
Team Rocket's Watchtower,로켓단의 감시탑
Team Skull Grunt,스컬단조무래기
Team Star Grunt,스타단의 조무래기
Team Yell Grunt,옐단 조무래기
Team Yell Towel,옐단의 응원타올
Team Yell's Cheer,옐단의 응원
Teammates,선배&후배
Technical Machine TS-1,
Technical Machine TS-2,
Technical Machine: Blindside,기술머신 암습
Technical Machine: Crisis Punch,기술머신 위기극복한방
Technical Machine: Devolution,기술머신 데볼루션
Technical Machine: Evolution,기술머신 에볼루션
Technical Machine: Fluorite,기술머신 플루어라이트
Technical Machine: Turbo Energize,기술머신 에너지터보
Techno Radar,테크노레이더
Telescopic Sight,망원스코프
Temple of Sinnoh,신오신전
Tera Orb,테라스탈오브
The Boss's Way,
The Masked Royal,쿠쿠이박사
The Rocket's Training Gym,
The Rocket's Trap,
Thick Scale,두꺼운비늘
Thorton,수철
Thought Wave Machine (Rocket's Secret Machine),
Thunder Mountain ◇,
Tickling Machine,
Tierno,티에르노
Time Capsule,타임캡슐
Time Shard,
Time-Space Distortion,
Timer Ball,타이마볼
TM Machine,기술머신머신
Tool Box,툴박스
Tool Jammer,툴재머
Tool Retriever,
Tool Scrapper,툴스크래퍼
Tormenting Spray,트집 스프레이
Tower of Darkness,악의 탑
Tower of Waters,물의 탑
Town Map,타운맵
Town Store,마을백화점
Town Volunteers,
Toy Catcher,토이캐처
Trainers' Mail,
Trainers’ Mail,
Training Area,트레이닝 에리어
Training Center,
Training Court,트레이닝 코트
Transformation Tome,변화의 서
Transparent Walls,
Trash Exchange,
Traveling Merchant,
Traveling Salesman,
Treasure Tracker,트레져 가젯
Trekking Shoes,트레킹슈즈
Tremendous Bomb,호쾌봄
Trevor,트로바
Trick Coin,
Trick Shovel,
Tropical Beach,
Tropical Tidal Wave,
Tropical Wind,
Tulip,리파
Turbo Patch,터보패치
Turffield Stadium,터프스타디움
TV Reporter,
Twins,쌍둥이
Twist Mountain,태엽산
Tyme,타임
Tyranitar Spirit Link,마기라스 소울링크
U-Turn Board,U턴 보드
Ultimate Zone,
Ultra Ball,하이퍼볼
Ultra Forest Kartenvoy,울트라포레스트 종이 전문가
Ultra Recon Squad,울트라조사대
Ultra Space,울트라스페이스
Underground Expedition,
Underground Lake,유사의 땅
Undersea Ruins,해저유적
Unfair Stamp,언페어 스탬프
Unidentified Fossil,수수께끼화석
Urbain,가이
Urn of Vitality,활력의 항아리
Vengeful Punch,리벤지펀치
Venture Bomb,
Venusaur Spirit Link,이상해꽃 소울링크
Vermilion City Gym,
Victory Cup,
Victory Piece,빅토리피스
Virbank City Gym,모란만시티 체육관
Viridian City Gym,
Viridian Forest,상록숲
Vitality Band,기력의머리띠
Volkner,전진
Volkner's Philosophy,
Volo,월로
VS Seeker,배틀서처
Wait and See Hammer,시간벌기해머
Wait and See Turbo,시간벌기터보
Waitress,웨이트리스
Wallace,윤진
Wally,민진
Wally's Compassion,민진의 헤아림
Wally's Training,
Warp Point,워프포인트
Water Cube 01,
Water Memory,워터메모리
Weakness Guard,
Weakness Policy,약점보험
Weeding Gloves,제초글러브
Wela Volcano Park,벨라화산공원
Welcoming Lantern,마중초롱
Welder,용접공
Whitney,꼭두
Wicke,비케
Wide Lens,광각렌즈
Will,일목
Windstorm,
Windup Arm,기계장치암
Winona,은송
Wishful Baton,소원의 바통
Wondrous Labyrinth ◇,
Wondrous Patch,원더패치
Worker,작업원
Wyndon Stadium,슛스타디움
X Speed,스피드업
Xerosic,크세로시키
Xerosic's Machinations,크세로시키의 속셈
Xtransceiver,라이브캐스터
Yell Horn,응원Y나팔
Youngster,반바지 꼬마
Zinnia,피아나
Zinnia's Resolve,피아나의 결의
Zisu,페릴라
Aqua Energy,아쿠아 에너지
Aromatic Grass Energy,아로마 풀 에너지
Aurora Energy,오로라 에너지
Basic Darkness Energy,기본 악 에너지
Basic Fighting Energy,기본 격투 에너지
Basic Fire Energy,기본 불꽃 에너지
Basic Grass Energy,기본 풀 에너지
Basic Lightning Energy,기본 번개 에너지
Basic Metal Energy,기본 강철 에너지
Basic Psychic Energy,기본 초 에너지
Basic Water Energy,기본 물 에너지
Beast Energy ◇,비스트에너지 ◇
Blend Energy Grass Fire Psychic Darkness,블렌드 에너지 풀 불꽃 초 악
Blend Energy Water Lightning Fighting Metal,블렌드 에너지 물 번개 격투 강철
Boomerang Energy,부메랑 에너지
Boost Energy,부스트 에너지
Bounce Energy,바운스 에너지
Bubbly Water Energy,버블 물 에너지
Burning Energy,버닝 불꽃 에너지
Call Energy,콜 에너지
Capture Energy,캡쳐 에너지
Coating Metal Energy,코팅 강철 에너지
Counter Energy,카운터 에너지
Crystal Energy,크리스탈 에너지
Cyclone Energy,사이클론 에너지
Dangerous Energy,덴저러스 악 에너지
Dark Metal Energy,다크 강철 에너지
Darkness Energy,악 에너지
Double Aqua Energy,더블 아쿠아 에너지
Double Colorless Energy,더블 무색 에너지
Double Dragon Energy,더블 드래곤 에너지
Double Magma Energy,더블 마그마 에너지
Double Rainbow Energy,더블 레인보우 에너지
Double Turbo Energy,더블 터보 에너지
Draw Energy,드로 에너지
Enriching Energy,리치 에너지
Fairy Energy,기본 페어리 에너지
Fighting Energy,격투 에너지
Fire Energy,불꽃 에너지
Flash Energy,플래시 에너지
Full Heal Energy,만병통치약 에너지
Fusion Strike Energy,퓨전 에너지
Gift Energy,기프트 에너지
Grass Energy,풀 에너지
Growing Grass Energy,성장의 풀 에너지
Heal Energy,힐 에너지
Health Energy,헬스 에너지
Heat Fire Energy,히트 불꽃 에너지
Herbal Energy,허브 에너지
